2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 246f662074686520
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 256d657373616765
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 260d0a2320202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2720202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2820207061796c6f
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 296164203d206279
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a74656172726179
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b2866697273745f
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c6672616d655b32
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d3a5d290d0a0d0a
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e23202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2023205365717565
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 216e6365206e756d
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2262657220737461
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2372747320617420
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 24300d0a23202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2520202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2620202065787065
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 27637465645f7365
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 287175656e63655f
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 296e756d62657220
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a3d20300d0a0d0a
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b23202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d23205265636569
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e766520636f6e73
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f65637574697665
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 20206672616d6573
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2120756e74696c20
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 22746865206d6573
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2373616765206973
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2420636f6d706c65
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2574650d0a232020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2620202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2720202020776869
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 286c65206c656e28
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 297061796c6f6164
